,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8259615384615384,0.725,0.8395061728395061,0.7974683544303798
1,1,0.9117647058823528,0.828819068255688,0.8125,0.8571428571428572
2,2,0.7868480725623582,0.8533333333333334,0.8051948051948052,0.85
3,3,0.7605633802816902,0.755863539445629,0.7906976744186046,0.8518518518518519
4,4,0.8492063492063492,0.8860294117647058,0.8987341772151899,0.8875
5,5,0.8920454545454546,0.8833333333333333,0.9512195121951219,0.8701298701298701
6,6,0.8138238573021183,0.8721719457013575,0.8536585365853658,0.8888888888888888
7,7,0.8380952380952381,0.7166276346604216,0.8588235294117648,0.84
8,8,0.8009661835748791,0.9063545150501672,0.8571428571428572,0.8536585365853658
9,9,0.8901408450704226,0.9047619047619048,0.8604651162790697,0.85
