,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8576923076923078,0.76875,0.8641975308641976,0.759493670886076
1,1,0.946078431372549,0.761646803900325,0.9,0.7857142857142857
2,2,0.8480725623582767,0.8215384615384614,0.8961038961038961,0.8375
3,3,0.8,0.8454157782515991,0.8255813953488372,0.8641975308641976
4,4,0.871031746031746,0.8088235294117647,0.8860759493670887,0.8875
5,5,0.8967803030303031,0.8923076923076922,0.9390243902439024,0.8311688311688312
6,6,0.725752508361204,0.7839366515837104,0.8780487804878049,0.8518518518518519
7,7,0.7933333333333334,0.756440281030445,0.8235294117647058,0.8666666666666667
8,8,0.7497584541062802,0.9420289855072465,0.8452380952380952,0.9146341463414634
9,9,0.831924882629108,0.7359307359307359,0.8488372093023255,0.8
