,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9813760594433588,0.939729092862672,0.8850574712643678,0.8636363636363636
1,1,0.9927277655849084,0.9699799049977152,0.9069767441860466,0.8764044943820225
2,2,0.97983804307948,0.9549845949845949,0.8620689655172413,0.8850574712643678
3,3,0.982603599270266,0.9906553444930716,0.9195402298850575,0.9285714285714286
4,4,0.954666051332718,0.9920718904845889,0.9080459770114943,0.9540229885057472
5,5,0.9607827087359251,0.9812130754236018,0.9080459770114943,0.9302325581395349
6,6,0.9762818870759302,0.9437108879966023,0.9294117647058824,0.9069767441860466
7,7,0.9593892572887004,0.9677862328574803,0.8863636363636364,0.9204545454545454
8,8,0.9616954811893738,0.965966071721033,0.9176470588235294,0.8850574712643678
9,9,0.9685394932935916,0.9729415650208098,0.8953488372093024,0.9069767441860466
