,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9921008623942188,0.9465568879622269,0.9080459770114943,0.8636363636363636
1,1,0.9986235450521165,0.9757271516983891,0.9534883720930233,0.9213483146067416
2,2,0.9580951336172724,0.979131902465236,0.896551724137931,0.9540229885057472
3,3,0.9898971843416288,0.988606036478377,0.9310344827586207,0.9642857142857143
4,4,0.9752146229924007,0.9921823357495873,0.9195402298850575,0.9425287356321839
5,5,0.9728944575644659,0.9686579697106014,0.9195402298850575,0.8953488372093024
6,6,0.9658481235948381,0.9868516082801797,0.8823529411764706,0.9534883720930233
7,7,0.9666468003545421,0.977884466770654,0.9090909090909091,0.9318181818181819
8,8,0.9713188453518736,0.9746210268988525,0.9529411764705882,0.9080459770114943
9,9,0.9852450736876964,0.9989537560159029,0.9186046511627907,0.9418604651162791
