,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9650053022269354,0.9621212121212122,0.8850574712643678,0.9302325581395349
1,1,0.9635306553911205,0.9198863636363637,0.896551724137931,0.8928571428571429
2,2,0.9804639804639805,0.8718535469107551,0.9135802469135803,0.75
3,3,0.9595959595959596,0.9181184668989547,0.9101123595505618,0.8674698795180723
4,4,0.9473975636766334,0.9640591966173361,0.8705882352941177,0.9195402298850575
5,5,0.9707950243374797,0.9496753246753247,0.872093023255814,0.8372093023255813
6,6,0.9514462809917354,0.9307997731140102,0.8977272727272727,0.8214285714285714
7,7,0.9016683518705764,0.9534883720930233,0.8202247191011236,0.9036144578313253
8,8,0.9667019027484144,0.9762046400951814,0.8620689655172413,0.9024390243902439
9,9,0.9269788182831661,0.9457644628099173,0.8588235294117648,0.8636363636363636
