,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9088016967126193,0.9015151515151515,0.8160919540229885,0.8488372093023255
1,1,0.904862579281184,0.8840909090909091,0.8620689655172413,0.8571428571428572
2,2,0.9639804639804639,0.8644164759725401,0.8888888888888888,0.75
3,3,0.9348484848484848,0.9146341463414634,0.8876404494382022,0.7951807228915663
4,4,0.9097452934662237,0.9566596194503172,0.8588235294117648,0.9195402298850575
5,5,0.9372633856138453,0.9334415584415584,0.8255813953488372,0.8837209302325582
6,6,0.9612603305785122,0.9115144639818491,0.8863636363636364,0.8571428571428572
7,7,0.9059656218402427,0.9377906976744186,0.8539325842696629,0.8433734939759037
8,8,0.9534883720930233,0.9559785841760857,0.8850574712643678,0.8658536585365854
9,9,0.8963210702341137,0.9085743801652892,0.8117647058823529,0.8068181818181819
