,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9432692307692307,0.8583333333333334,0.9012345679012346,0.8481012658227848
1,1,0.9375,0.8320693391115926,0.925,0.8690476190476191
2,2,0.8979591836734695,0.8338461538461538,0.8441558441558441,0.9
3,3,0.8262910798122065,0.88272921108742,0.8604651162790697,0.8765432098765432
4,4,0.8283730158730159,0.8431372549019608,0.7721518987341772,0.7625
5,5,0.9166666666666666,0.867948717948718,0.9024390243902439,0.7792207792207793
6,6,0.7770345596432553,0.8925339366515838,0.7439024390243902,0.8518518518518519
7,7,0.7819047619047619,0.8348946135831381,0.788235294117647,0.8
8,8,0.7816425120772946,0.9130434782608696,0.7380952380952381,0.926829268292683
9,9,0.8938967136150235,0.8809523809523809,0.8604651162790697,0.825
