,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9230769230769231,0.790625,0.8024691358024691,0.6962025316455696
1,1,0.9473039215686274,0.781148429035753,0.825,0.7023809523809523
2,2,0.8242630385487528,0.7087179487179487,0.6233766233766234,0.5
3,3,0.8131455399061033,0.7878464818763327,0.8023255813953488,0.8395061728395061
4,4,0.7807539682539683,0.7549019607843137,0.759493670886076,0.7875
5,5,0.9214015151515151,0.8910256410256411,0.7804878048780488,0.5974025974025974
6,6,0.7959866220735786,0.8178733031674208,0.8292682926829268,0.8271604938271605
7,7,0.7647619047619048,0.724824355971897,0.48235294117647054,0.3866666666666667
8,8,0.7478260869565218,0.8985507246376812,0.6547619047619048,0.7195121951219512
9,9,0.8854460093896713,0.8885281385281385,0.7558139534883721,0.7125
