,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9038461538461539,0.7770833333333333,0.8024691358024691,0.7088607594936709
1,1,0.9240196078431372,0.7930660888407367,0.825,0.8214285714285714
2,2,0.8866213151927438,0.7805128205128204,0.8181818181818181,0.85
3,3,0.727699530516432,0.8603411513859275,0.7441860465116279,0.8765432098765432
4,4,0.8025793650793651,0.8284313725490197,0.8227848101265822,0.8375
5,5,0.9119318181818181,0.8782051282051282,0.8780487804878049,0.7792207792207793
6,6,0.7224080267558528,0.8665158371040724,0.8292682926829268,0.8765432098765432
7,7,0.8457142857142856,0.8149882903981265,0.8705882352941177,0.8133333333333334
8,8,0.7874396135265701,0.8929765886287625,0.8214285714285714,0.9024390243902439
9,9,0.8647887323943662,0.761904761904762,0.8488372093023255,0.7875
