,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8596153846153846,0.7489583333333334,0.8641975308641976,0.810126582278481
1,1,0.9424019607843137,0.8331527627302275,0.925,0.7619047619047619
2,2,0.7789115646258503,0.6646153846153846,0.6103896103896104,0.5375
3,3,0.8488262910798122,0.8646055437100213,0.8255813953488372,0.8641975308641976
4,4,0.7718253968253969,0.8125,0.8607594936708861,0.8625
5,5,0.9034090909090908,0.8051282051282052,0.926829268292683,0.8701298701298701
6,6,0.7458193979933111,0.829185520361991,0.7682926829268293,0.8024691358024691
7,7,0.7342857142857143,0.860655737704918,0.7764705882352941,0.8133333333333334
8,8,0.7816425120772946,0.9297658862876254,0.7976190476190477,0.8902439024390244
9,9,0.8676056338028169,0.8647186147186147,0.7441860465116279,0.8
