,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8221153846153846,0.8072916666666666,0.8024691358024691,0.810126582278481
1,1,0.8272058823529411,0.761646803900325,0.4625,0.5
2,2,0.7709750566893424,0.6758974358974359,0.6493506493506493,0.6
3,3,0.7051643192488263,0.720682302771855,0.6162790697674418,0.7407407407407407
4,4,0.6904761904761905,0.7892156862745098,0.5696202531645569,0.5625
5,5,0.8712121212121212,0.8282051282051281,0.19512195121951215,0.1558441558441559
6,6,0.6187290969899665,0.7115384615384616,0.8658536585365854,0.8641975308641976
7,7,0.800952380952381,0.724824355971897,0.17647058823529416,0.18666666666666665
8,8,0.6541062801932367,0.7714604236343366,0.5714285714285714,0.5975609756097561
9,9,0.856338028169014,0.7662337662337662,0.7558139534883721,0.7125
