,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8432692307692308,0.6989583333333333,0.8765432098765432,0.7848101265822784
1,1,0.9154411764705882,0.8331527627302275,0.8625,0.8571428571428572
2,2,0.7687074829931972,0.8492307692307691,0.8571428571428572,0.8875
3,3,0.8197183098591548,0.7931769722814499,0.813953488372093,0.8518518518518519
4,4,0.8908730158730158,0.8860294117647058,0.9113924050632911,0.9
5,5,0.7954545454545455,0.8205128205128205,0.8292682926829268,0.8831168831168831
6,6,0.7814938684503903,0.8552036199095023,0.8292682926829268,0.8765432098765432
7,7,0.8371428571428572,0.7494145199063231,0.8470588235294118,0.8266666666666667
8,8,0.6782608695652174,0.8483835005574136,0.7380952380952381,0.8292682926829268
9,9,0.8769953051643192,0.9058441558441559,0.813953488372093,0.8625
