,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8778846153846154,0.7270833333333333,0.8395061728395061,0.6582278481012658
1,1,0.8088235294117646,0.799566630552546,0.7625,0.7857142857142857
2,2,0.7380952380952381,0.678974358974359,0.7012987012987013,0.7375
3,3,0.7549295774647887,0.7302771855010661,0.8255813953488372,0.8271604938271605
4,4,0.7420634920634921,0.75,0.379746835443038,0.3125
5,5,0.9024621212121212,0.8384615384615384,0.8536585365853658,0.7792207792207793
6,6,0.7536231884057971,0.833710407239819,0.8048780487804879,0.8395061728395061
7,7,0.7371428571428571,0.6416861826697892,0.7058823529411764,0.6266666666666667
8,8,0.736231884057971,0.8885172798216276,0.8333333333333334,0.9146341463414634
9,9,0.7887323943661972,0.7683982683982684,0.8488372093023255,0.825
