,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8173076923076923,0.8104166666666667,0.8271604938271605,0.810126582278481
1,1,0.8333333333333333,0.7952329360780065,0.925,0.8452380952380952
2,2,0.7596371882086167,0.7425641025641025,0.7532467532467533,0.7875
3,3,0.8413145539906104,0.800639658848614,0.8023255813953488,0.8148148148148149
4,4,0.7490079365079365,0.7279411764705882,0.7974683544303798,0.875
5,5,0.7964015151515151,0.764102564102564,0.8292682926829268,0.8571428571428572
6,6,0.6566332218506132,0.7986425339366516,0.7804878048780488,0.7654320987654322
7,7,0.7514285714285714,0.607728337236534,0.7529411764705882,0.7466666666666666
8,8,0.7661835748792271,0.8338907469342253,0.8333333333333334,0.8292682926829268
9,9,0.8685446009389672,0.8430735930735931,0.8372093023255813,0.8125
