,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8298076923076924,0.7958333333333334,0.8395061728395061,0.8227848101265822
1,1,0.9558823529411765,0.8277356446370531,0.7625,0.8095238095238095
2,2,0.8129251700680272,0.6656410256410257,0.8051948051948052,0.7625
3,3,0.6535211267605633,0.753731343283582,0.8488372093023255,0.8518518518518519
4,4,0.7529761904761905,0.7708333333333333,0.8354430379746836,0.9
5,5,0.7765151515151515,0.8038461538461539,0.7195121951219512,0.6363636363636364
6,6,0.6365663322185061,0.7963800904977376,0.7195121951219512,0.7654320987654322
7,7,0.7742857142857142,0.752927400468384,0.8352941176470589,0.8133333333333334
8,8,0.7613526570048309,0.778149386845039,0.8214285714285714,0.8658536585365854
9,9,0.8262910798122066,0.7748917748917749,0.7906976744186046,0.8375
