,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9150134944612943,0.9076914163906608,0.7126436781609196,0.75
1,1,0.9317884217884217,0.9025442677777975,0.813953488372093,0.752808988764045
2,2,0.9215220289781693,0.922343050120828,0.8390804597701149,0.8390804597701149
3,3,0.9285311140866696,0.9507982649471508,0.8620689655172413,0.8690476190476191
4,4,0.9319146346924123,0.956851283250615,0.7816091954022988,0.8620689655172413
5,5,0.9284625102920842,0.9706140350877193,0.8505747126436781,0.8372093023255813
6,6,0.9146127320883727,0.8396841682555968,0.8470588235294118,0.7674418604651163
7,7,0.9007506276165257,0.9029505124364853,0.7613636363636364,0.7727272727272727
8,8,0.9163705799126891,0.9345927611242537,0.8352941176470589,0.8045977011494253
9,9,0.9455130540376442,0.9506235263728574,0.8023255813953488,0.7790697674418605
