,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9365412824084092,0.9294208296184922,0.8275862068965517,0.7727272727272727
1,1,0.9726678533821391,0.9670988148800327,0.8255813953488372,0.8202247191011236
2,2,0.9527827505271115,0.9542983387427832,0.8160919540229885,0.896551724137931
3,3,0.9668589946367724,0.969033102235446,0.8390804597701149,0.8571428571428572
4,4,0.9375565031120586,0.965512888361677,0.8275862068965517,0.896551724137931
5,5,0.8793339168025884,0.8837771779877044,0.6896551724137931,0.7325581395348837
6,6,0.9701531812844578,0.9176075661789947,0.8588235294117648,0.8023255813953488
7,7,0.9566496045872205,0.9624557101203636,0.8181818181818181,0.8522727272727273
8,8,0.9663742195180842,0.9798744064662959,0.8941176470588236,0.9195402298850575
9,9,0.9479281889937626,0.9585760381593715,0.8488372093023255,0.8488372093023255
