,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9376751525414165,0.9515341094510704,0.8505747126436781,0.8409090909090909
1,1,0.9754113561256418,0.9707357944815916,0.9186046511627907,0.8876404494382022
2,2,0.9402118813146382,0.9239217861440084,0.7816091954022988,0.7701149425287357
3,3,0.9729783029783029,0.9425504741965208,0.9195402298850575,0.8333333333333334
4,4,0.9500661556217112,0.9685014202975774,0.7471264367816092,0.7931034482758621
5,5,0.9535149803320229,0.9827492877492877,0.8390804597701149,0.9069767441860466
6,6,0.9584443869496191,0.9566816731102445,0.8588235294117648,0.8604651162790697
7,7,0.9665446970077398,0.9626036482969053,0.8522727272727273,0.7840909090909091
8,8,0.9506973112281321,0.9645199800160974,0.8823529411764706,0.8850574712643678
9,9,0.9582643373626981,0.967323475111908,0.9186046511627907,0.8953488372093024
