,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9773386349055029,0.9573302568015879,0.9310344827586207,0.875
1,1,0.9975849868707011,0.989247195429159,0.9651162790697675,0.9325842696629214
2,2,0.975690549124133,0.9885499352166018,0.9310344827586207,0.9425287356321839
3,3,0.9727142004919783,0.9989487366672062,0.9195402298850575,0.9761904761904762
4,4,0.9787858276747166,0.9957139320965553,0.9195402298850575,0.9540229885057472
5,5,0.9890203904823788,0.9973879142300195,0.9540229885057472,0.9651162790697675
6,6,0.9811713735849091,0.9914365835794406,0.8941176470588236,0.9534883720930233
7,7,0.9973821621448886,0.9789899323167292,0.9431818181818182,0.8863636363636364
8,8,0.9532819066098339,0.9723188860980061,0.9529411764705882,0.9310344827586207
9,9,0.9791353424959982,0.9944232467403743,0.9186046511627907,0.9302325581395349
