,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8671092565139157,0.8305108284970757,0.7241379310344828,0.75
1,1,0.9175380496809069,0.9220101410254212,0.8255813953488372,0.7640449438202247
2,2,0.8875156666718906,0.9137648759870981,0.7126436781609196,0.8160919540229885
3,3,0.893383181160959,0.8597493286384631,0.8045977011494253,0.7738095238095238
4,4,0.8912633123744235,0.9094690791432645,0.7471264367816092,0.7471264367816092
5,5,0.9033716445997148,0.9502714050082471,0.8505747126436781,0.8488372093023255
6,6,0.8810489911067841,0.8392036706322421,0.7411764705882353,0.813953488372093
7,7,0.9248426100200096,0.8967321170398534,0.8181818181818181,0.7386363636363636
8,8,0.9484845838863679,0.9309482085668453,0.8705882352941177,0.8505747126436781
9,9,0.921147264999724,0.9495831681369147,0.7441860465116279,0.8023255813953488
