,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9532401856474332,0.9410985799714329,0.7931034482758621,0.7954545454545454
1,1,0.9763645235073807,0.967818120652769,0.9069767441860466,0.8764044943820225
2,2,0.9573578406494029,0.9595894884783774,0.8735632183908046,0.9080459770114943
3,3,0.96223694112583,0.9451530802850917,0.8735632183908046,0.8690476190476191
4,4,0.9466945011389455,0.9625228897158723,0.8160919540229885,0.8735632183908046
5,5,0.9689153941451352,0.990925925925926,0.8850574712643678,0.9418604651162791
6,6,0.9616189221548916,0.9633588312159741,0.8235294117647058,0.9069767441860466
7,7,0.9754308917053708,0.9568837063278458,0.8636363636363636,0.8522727272727273
8,8,0.9661520586981709,0.951015701257289,0.8823529411764706,0.8735632183908046
9,9,0.9258044930176078,0.930134342232915,0.7209302325581395,0.7093023255813953
