,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.936373276776246,0.8939393939393939,0.8390804597701149,0.8372093023255813
1,1,0.9217758985200846,0.9403409090909092,0.8390804597701149,0.9047619047619048
2,2,0.9700854700854702,0.8884439359267734,0.9135802469135803,0.7857142857142857
3,3,0.891919191919192,0.9117305458768874,0.7865168539325843,0.8313253012048193
4,4,0.9069767441860465,0.9402748414376321,0.8352941176470589,0.896551724137931
5,5,0.9399675500270416,0.9025974025974025,0.8372093023255813,0.7906976744186046
6,6,0.9266528925619835,0.9642654566080545,0.8181818181818181,0.9047619047619048
7,7,0.9206268958543985,0.8796511627906977,0.8089887640449438,0.7951807228915663
8,8,0.9413319238900634,0.967876264128495,0.8850574712643678,0.9390243902439024
9,9,0.927536231884058,0.9116735537190082,0.8588235294117648,0.8863636363636364
