,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.6728525980911982,0.6444805194805194,0.5747126436781609,0.5581395348837209
1,1,0.7452431289640592,0.6818181818181818,0.7011494252873562,0.6309523809523809
2,2,0.7912087912087913,0.7002288329519452,0.6666666666666667,0.6309523809523809
3,3,0.807070707070707,0.7334494773519163,0.6629213483146068,0.6265060240963856
4,4,0.8150609080841639,0.7632135306553911,0.6941176470588235,0.6666666666666667
5,5,0.7312060573282856,0.7375541125541125,0.6976744186046512,0.6744186046511628
6,6,0.7582644628099173,0.8315371525808282,0.7045454545454546,0.7261904761904762
7,7,0.6779575328614763,0.6122093023255815,0.6629213483146068,0.5783132530120482
8,8,0.7156448202959832,0.7424152290303391,0.6091954022988506,0.5609756097560976
9,9,0.76644370122631,0.6430785123966943,0.6352941176470588,0.5681818181818181
