,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.915694591728526,0.8912337662337662,0.8620689655172413,0.8255813953488372
1,1,0.9233615221987315,0.9193181818181818,0.8160919540229885,0.8690476190476191
2,2,0.9316239316239316,0.8157894736842105,0.8271604938271605,0.7380952380952381
3,3,0.8974747474747475,0.9657375145180023,0.7865168539325843,0.8674698795180723
4,4,0.8826135105204873,0.9254756871035941,0.8823529411764706,0.896551724137931
5,5,0.9675500270416441,0.8988095238095237,0.9069767441860466,0.813953488372093
6,6,0.8982438016528925,0.9500850822461713,0.8068181818181819,0.8928571428571429
7,7,0.9160768452982812,0.9325581395348836,0.8651685393258427,0.8674698795180723
8,8,0.9365750528541226,0.966686496133254,0.896551724137931,0.9024390243902439
9,9,0.9314381270903009,0.8961776859504131,0.8352941176470589,0.7954545454545454
