,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.6765641569459173,0.6558441558441559,0.5287356321839081,0.4883720930232558
1,1,0.5914376321353065,0.5789772727272727,0.49425287356321834,0.47619047619047616
2,2,0.6596459096459096,0.6899313501144165,0.5185185185185186,0.45238095238095233
3,3,0.7777777777777778,0.7224157955865272,0.7303370786516854,0.6867469879518072
4,4,0.6921373200442967,0.6839323467230444,0.49411764705882355,0.5057471264367817
5,5,0.6598161168199026,0.704004329004329,0.627906976744186,0.6627906976744187
6,6,0.7603305785123967,0.8338060124787294,0.6818181818181819,0.7857142857142857
7,7,0.6956521739130435,0.7325581395348838,0.6292134831460674,0.6867469879518072
8,8,0.6268498942917548,0.7858417608566329,0.5862068965517242,0.6951219512195121
9,9,0.8099219620958752,0.8088842975206612,0.7176470588235294,0.7613636363636364
