,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8303287380699893,0.823051948051948,0.7701149425287357,0.7093023255813953
1,1,0.8995771670190275,0.8318181818181818,0.7701149425287357,0.75
2,2,0.8534798534798536,0.795766590389016,0.7777777777777778,0.6785714285714286
3,3,0.8676767676767677,0.756678281068525,0.7865168539325843,0.6746987951807228
4,4,0.7840531561461794,0.7727272727272726,0.7529411764705882,0.6551724137931034
5,5,0.8442401297998918,0.8414502164502164,0.7790697674418605,0.7674418604651163
6,6,0.746900826446281,0.7691435053885423,0.5,0.5119047619047619
7,7,0.7947421638018201,0.8034883720930233,0.6853932584269663,0.7349397590361446
8,8,0.7991543340380549,0.8691255205234979,0.735632183908046,0.7560975609756098
9,9,0.7809364548494984,0.8460743801652892,0.7294117647058824,0.7272727272727273
