,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.94220572640509,0.9561688311688311,0.8620689655172413,0.8953488372093024
1,1,0.9630021141649049,0.9198863636363636,0.8850574712643678,0.9047619047619048
2,2,0.9743589743589745,0.9176201372997712,0.8888888888888888,0.7857142857142857
3,3,0.9671717171717171,0.9396051103368176,0.9213483146067416,0.8192771084337349
4,4,0.9540420819490586,0.9735729386892178,0.8941176470588236,0.9310344827586207
5,5,0.9751216873985938,0.948051948051948,0.8837209302325582,0.9069767441860466
6,6,0.9240702479338843,0.9517867271695972,0.8409090909090909,0.8928571428571429
7,7,0.91051567239636,0.9517441860465116,0.8426966292134832,0.891566265060241
8,8,0.9577167019027484,0.9696609161213564,0.9080459770114943,0.8780487804878049
9,9,0.9476031215161649,0.9403409090909092,0.8941176470588236,0.8977272727272727
