,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7523860021208908,0.7521645021645021,0.6551724137931034,0.7093023255813953
1,1,0.6633192389006344,0.6525568181818181,0.5862068965517242,0.5714285714285714
2,2,0.7094017094017094,0.6847826086956522,0.5925925925925926,0.5595238095238095
3,3,0.7404040404040404,0.6689895470383276,0.696629213483146,0.6265060240963856
4,4,0.602436323366556,0.4704016913319239,0.5647058823529412,0.4482758620689655
5,5,0.7101135749053543,0.5746753246753247,0.686046511627907,0.5348837209302326
6,6,0.7107438016528925,0.6647759500850824,0.6704545454545454,0.6785714285714286
7,7,0.5298281092012134,0.6662790697674419,0.4943820224719101,0.6746987951807228
8,8,0.6495771670190275,0.7376561570493754,0.5977011494252873,0.6585365853658536
9,9,0.5579710144927537,0.722107438016529,0.5647058823529412,0.6363636363636364
