,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.821845174973489,0.8338744588744589,0.7816091954022988,0.7674418604651163
1,1,0.8884778012684988,0.8102272727272727,0.7471264367816092,0.7380952380952381
2,2,0.9096459096459095,0.7728832951945079,0.7407407407407407,0.5952380952380952
3,3,0.9383838383838383,0.889082462253194,0.797752808988764,0.7831325301204819
4,4,0.8643410852713178,0.8662790697674418,0.7529411764705882,0.7931034482758621
5,5,0.8436992969172525,0.8722943722943721,0.686046511627907,0.6744186046511628
6,6,0.8734504132231405,0.8910947249007374,0.7727272727272727,0.7738095238095238
7,7,0.7219413549039434,0.8133720930232557,0.6741573033707865,0.7710843373493976
8,8,0.8742071881606766,0.8488994646044021,0.7241379310344828,0.6829268292682926
9,9,0.8372352285395764,0.7954545454545455,0.7294117647058824,0.7386363636363636
